Layer,Expert_ID,Total_Activations,Shapley_Value
0,87,1830,117.51772803114501
0,124,1431,94.65506941869481
0,72,1333,89.66143915774879
0,28,1272,82.34016632236855
0,40,1188,80.99785669714348
0,60,1178,80.54157863696413
0,114,1138,76.15943219739134
0,109,1157,74.45773081201318
0,7,1072,73.75299038505521
0,84,1080,71.25973303670713
0,8,1068,70.38954543079208
0,11,966,65.38018433179732
0,119,943,63.74973515546365
0,57,962,62.7030033370411
0,21,954,62.16819193042777
0,16,885,60.45367467781245
0,52,892,59.36866685967659
0,53,892,58.82254228836665
0,127,885,58.72596535833457
0,125,903,58.63971664422444
0,98,853,58.63674181791909
0,88,906,58.43529847979248
0,27,849,57.864090181502576
0,105,855,57.561787402669374
0,120,822,55.06614492293013
0,62,808,54.831690011555615
0,61,805,53.39938641501328
0,121,815,52.85860552128629
0,91,776,52.088104429758594
0,30,804,51.65976599513844
0,100,801,50.78199915615061
0,115,749,50.51996977774042
0,64,762,50.14629781883236
0,123,722,49.09724451478522
0,107,772,49.057484506594854
0,34,718,48.773734949163824
0,106,713,48.28362262979572
0,1,712,48.03440136737291
0,117,721,47.28995759176855
0,13,726,47.18709193790195
0,104,693,47.00756832210091
0,126,693,46.84074538051982
0,76,696,46.135663557799184
0,17,687,45.606229143492584
0,48,687,45.56468569413179
0,65,673,45.510838916625964
0,0,654,44.1154787944845
0,58,637,43.735333780303804
0,122,649,43.07955019466066
0,75,638,42.923574694987344
0,80,631,41.080999089897844
0,85,608,40.97899474868726
0,45,613,40.1754533460953
0,94,594,40.028753121917354
0,63,613,40.002008404399895
0,69,616,39.37790355296744
0,71,584,39.09331074931724
0,112,572,38.63309320762042
0,50,568,37.848567373710296
0,111,561,37.756237088828925
0,33,572,37.43494756078168
0,41,540,36.88564424333409
0,66,536,36.26105028979564
0,73,543,36.05933115648213
0,102,539,35.71636443593662
0,31,516,35.083393693250954
0,9,534,34.87831306816009
0,3,511,34.740206131813174
0,93,529,34.617712491003076
0,83,485,31.89655172413786
0,110,481,31.8482524442364
0,35,468,31.82476653646168
0,68,479,31.78761190967316
0,29,463,31.268960461118276
0,2,469,31.186915502822195
0,82,498,31.184823414905395
0,97,465,30.25995962592191
0,95,448,30.20965755601467
0,23,465,29.993643731129772
0,70,420,28.548259030501708
0,81,446,27.67498074783948
0,118,405,27.103917206482205
0,43,384,25.836168727780358
0,101,387,25.806046632180358
0,99,440,25.762752264420893
0,74,370,25.12888955564662
0,103,376,24.0994896289996
0,18,334,22.630010227620556
0,108,342,21.78580983089504
0,89,308,20.735082359394784
0,47,302,20.29426805324336
0,12,303,20.1414269823614
0,14,303,19.67104253768554
0,116,302,19.377085650723
0,92,284,18.920851935941013
0,86,273,17.724058477673633
0,113,274,17.183844117985508
0,32,280,15.756143189402383
0,67,230,15.716626888560135
0,38,232,15.575239611745152
0,22,234,15.509657194862957
0,4,256,15.045125897461812
0,44,229,14.960819561417432
0,77,213,13.979653318502079
0,25,198,12.219132369299222
0,26,355,12.027252502780879
0,51,188,11.460855198586675
0,49,176,11.311588038997588
0,36,149,9.5312874871862
0,59,141,9.131878557874757
0,37,132,8.826580816291605
0,24,131,8.458472376714871
0,78,123,7.428486606740232
0,96,108,7.157138199532054
0,6,106,7.0375465917296065
0,90,69,4.421579532814238
0,39,70,3.8985625053478232
0,20,61,3.545606229143492
0,54,45,2.8881296678849506
0,79,45,2.7622457492451935
0,5,31,1.8466699110122367
0,42,37,1.8295181780926182
0,19,24,1.4152629906245036
0,56,25,1.1934556915090846
0,10,14,0.7777739154616241
0,46,10,0.2780867630700779
0,55,5,0.06952169076751949
0,15,0,0.0
1,31,2088,138.9469482220376
1,119,1858,118.90253876856421
1,89,1469,94.94101633393755
1,85,1314,84.97288654059966
1,92,1250,83.01976154059977
1,72,1196,81.38407754648041
1,18,1173,76.2421208750461
1,122,1150,73.14908722109504
1,70,1085,71.60734149054413
1,42,1049,70.11117677048593
1,125,1030,65.9394941748138
1,7,983,65.47856993882034
1,62,960,63.247358175750314
1,54,948,62.755492213571436
1,5,927,60.26019248440284
1,63,840,55.8215725806448
1,127,811,53.448275862069295
1,51,779,52.63990640942037
1,98,819,52.59315906562874
1,121,766,51.68224665582858
1,4,761,50.33370411568392
1,43,753,49.71794056888573
1,27,775,49.3743047830925
1,65,863,49.325639599554776
1,109,763,48.68951612903254
1,44,759,48.56543502442312
1,1,807,48.10901001112295
1,17,779,48.10437523173915
1,76,727,47.91858103206439
1,87,733,47.61631281133616
1,9,794,47.526765850945765
1,97,725,46.65314401622738
1,47,732,45.99207452725277
1,77,669,44.86311951551067
1,80,647,43.64772993384476
1,105,653,43.578513162773405
1,90,725,43.13820912124608
1,66,653,42.95199030668974
1,75,652,42.73468104657331
1,46,667,42.62548665183512
1,113,701,41.92157953281449
1,94,642,41.50444938820934
1,95,621,40.94827586206908
1,60,626,40.68116620806722
1,112,642,40.59371523915473
1,22,599,40.19898652824095
1,16,632,39.71827671772037
1,56,613,39.5361165183536
1,58,605,39.00166852057812
1,86,612,38.526603633667435
1,83,635,38.332522246941245
1,108,563,38.26990816006424
1,15,630,38.16740823136823
1,78,663,38.06312569521671
1,45,566,37.73072511123467
1,123,635,37.576473859844455
1,30,593,37.202794771968655
1,82,563,37.05336552809351
1,106,554,36.96391051785899
1,6,641,36.614757137560076
1,115,539,36.10162084856201
1,59,599,35.93539605409541
1,24,539,34.262102819557825
1,99,537,34.17487684729091
1,57,565,34.13515016685217
1,88,547,33.98346647790477
1,116,541,33.16763997033764
1,48,603,33.036707452725096
1,2,522,32.824933687002584
1,107,532,32.52070201458386
1,21,487,32.480533926585
1,53,495,31.62802419354822
1,50,470,30.682849364791394
1,11,460,30.474833147942043
1,23,477,29.760631470865004
1,126,473,29.747965575785955
1,84,438,29.48610992270634
1,12,427,28.629783843910513
1,26,425,28.199321997987305
1,3,473,27.878197997775178
1,32,410,26.02529380471047
1,25,413,25.6969549499443
1,38,391,25.422984602775013
1,20,409,25.407504064345023
1,120,392,25.006952169076737
1,91,388,24.391417814665854
1,117,361,24.082313681868644
1,29,404,23.567853170189164
1,52,376,22.629310344827644
1,10,338,22.227731104736325
1,34,357,21.489927079471006
1,8,332,21.016941901257834
1,103,323,20.98686040044495
1,49,313,20.929118773946346
1,28,358,20.393029291805643
1,37,327,20.278608175750833
1,104,307,19.595185126330797
1,19,299,19.331119544592067
1,74,289,18.59705228031138
1,81,266,17.26124265056409
1,69,270,16.628719410456092
1,124,377,16.546162402669697
1,100,236,13.963928174161778
1,96,233,13.542825361512767
1,61,186,11.930418719211827
1,41,218,11.929922135706391
1,68,187,10.871454393770856
1,73,167,10.633159651074303
1,14,175,9.051724137931062
1,33,141,8.39722707770539
1,39,147,7.948646644419741
1,40,130,7.548069283330677
1,102,141,7.021690767519474
1,93,109,6.73290835971592
1,110,99,5.241935483870972
1,35,78,4.511185267581262
1,114,106,4.4725621060437595
1,13,61,3.5842293906810028
1,67,61,3.1537566993629316
1,101,53,2.2015202076381177
1,111,46,2.09558239313523
1,79,33,2.023502544915226
1,71,34,1.6546162402669635
1,36,45,1.4599555061179097
1,64,23,1.2381482070024898
1,55,27,0.9037819799777537
1,118,19,0.8342602892102337
1,0,24,0.0
2,47,2752,186.7306266221772
2,6,2364,153.78476084538903
2,45,1809,115.37621166375435
2,65,1722,113.01992293024199
2,50,1604,108.13550143434318
2,52,1491,100.29582678071408
2,112,1385,91.96174762081179
2,85,1328,87.54284039323008
2,127,1246,82.67756135659023
2,18,1202,81.79758555257423
2,4,1268,79.17361883574345
