Layer,Expert_ID,Total_Activations,Shapley_Value
0,114,2588,178.34317910791697
0,96,2585,173.85397088719282
0,54,2309,153.80515387467455
0,115,2158,146.50367238107694
0,16,1913,131.74164564696315
0,13,1877,128.36195309603366
0,36,1916,125.8036707452738
0,106,1809,120.24092425927853
0,113,1676,114.24032791381569
0,60,1614,110.54533047924424
0,123,1590,108.51079864648874
0,8,1558,107.49838179340773
0,56,1575,105.74816689745965
0,35,1522,103.80738002855294
0,45,1480,101.08813432549601
0,95,1440,98.5939881761622
0,30,1492,97.33668722823359
0,119,1416,96.28890488342176
0,98,1377,94.58363584288605
0,40,1451,93.11158740063509
0,7,1383,92.72069274502553
0,52,1291,87.08496502963717
0,25,1229,83.38257786429355
0,42,1262,82.90729015145008
0,1,1210,82.55366917416123
0,99,1188,81.64962985692944
0,34,1231,81.56812166775379
0,58,1366,81.33735551579038
0,27,1175,79.6776953188022
0,17,1154,79.3041359721846
0,26,1162,77.75074156470151
0,109,1312,77.22866677260457
0,104,1114,76.58893022899018
0,76,1133,75.66004711116932
0,3,1161,74.33259176863173
0,85,1032,70.04577735945928
0,125,1053,69.6162402669634
0,80,1026,66.01084538375979
0,37,989,64.56909793950939
0,84,918,62.691667439129795
0,57,909,61.94581280788162
0,23,938,61.46687533952479
0,126,973,57.107103130462455
0,100,823,54.848357585525925
0,78,834,54.705625297949986
0,11,794,52.901212074719105
0,62,776,52.18811964985263
0,32,831,51.81384333847653
0,43,759,51.44736289797885
0,94,738,50.66189660182994
0,97,723,47.293710183031564
0,87,724,46.43683039634673
0,74,654,44.13645418952637
0,83,643,43.565431124188315
0,48,669,43.450180405866405
0,21,641,43.13194077207834
0,127,609,41.84025632046579
0,33,617,41.688620884803804
0,124,617,41.67945226496863
0,93,614,41.622333994293335
0,18,599,41.24009530479686
0,50,619,40.52482556375766
0,110,591,40.10694557040776
0,89,591,39.177790137189504
0,69,599,38.90494268994528
0,121,675,38.83053820484301
0,44,630,38.263000556173566
0,53,577,38.1623212783852
0,102,557,37.34681116462098
0,67,546,35.71585387272408
0,82,556,35.270671116054864
0,65,555,35.23756554902277
0,22,516,34.27740224180709
0,88,982,33.82230255839816
0,0,512,33.7694979154107
0,29,523,33.63546301446048
0,47,486,33.28022126687306
0,66,490,32.739921752138464
0,73,492,32.079991413461386
0,101,482,32.04771683637085
0,116,477,31.149067906777333
0,31,474,30.898529230008695
0,77,522,30.56968059748936
0,12,486,30.153453331985066
0,120,447,29.864973427264793
0,61,459,29.1091408754826
0,112,435,28.524170374490186
0,105,432,28.28626009575854
0,63,426,27.47844827586203
0,107,447,27.092602892102363
0,2,489,26.765850945494986
0,70,402,26.58299937525713
0,49,445,25.52515615641315
0,41,401,24.91550440660564
0,92,359,24.478716063115424
0,117,328,22.384515659026448
0,111,317,21.147779141574926
0,122,297,19.77167918057098
0,4,302,19.196676863181317
0,108,280,19.11314122799105
0,81,291,19.093437152391537
0,68,300,18.639992148138475
0,64,289,17.61988629341243
0,118,263,17.336006056111742
0,6,251,17.028019638678987
0,72,266,16.510777110961612
0,86,258,16.329418307923845
0,71,239,16.09804066097535
0,75,268,15.720592324805352
0,38,204,13.649818065270265
0,91,189,11.457174638487203
0,51,175,11.288584538375977
0,5,164,10.950645474627525
0,24,178,10.011123470522792
0,9,150,9.944668913171498
0,103,168,8.220939933259185
0,90,76,4.662042792645423
0,28,67,3.816740823136817
0,14,72,3.7392737962815827
0,46,54,2.89210233592881
0,79,25,1.1007601038190584
0,39,19,0.9617167222840195
0,55,11,0.5822441601779756
0,19,8,0.1536795269597799
0,59,629,0.0
0,10,0,0.0
0,15,0,0.0
0,20,2,0.0
1,110,3509,238.52892102336236
1,10,3458,237.6724137931016
1,61,2877,194.7070819428978
1,100,2625,177.80301157664724
1,59,2526,166.79412309973875
1,81,2329,160.6492315567875
1,120,2220,148.33114836590966
1,12,2074,140.86918069257266
1,119,1961,135.3605196249797
1,21,2010,129.3763904338151
1,43,1731,118.95919708767312
1,50,1744,118.41583240637814
1,108,1739,116.72879776328108
1,35,1668,112.40992407022235
1,84,1624,110.47582990471405
1,82,1635,109.44017658509495
1,5,1493,99.65171328576487
1,118,1490,99.33564590071238
1,89,1425,97.2500308985298
1,80,1340,92.17936154810442
1,125,1364,90.68887305339221
1,51,1437,90.66207823507594
1,24,1309,87.84787079984044
1,11,1293,86.89943954821553
1,106,1303,86.0062357543412
