Layer,Expert_ID,Total_Activations,Shapley_Value
0,79,3285,221.51081329682134
0,72,1971,133.95836643890277
0,68,1750,116.78307093351452
0,67,1455,96.27016129032168
0,84,1491,94.83751787700655
0,28,1382,90.64164861542098
0,64,1347,87.1765411861126
0,86,1326,86.77781710317903
0,122,1248,84.31451612903223
0,77,1195,80.13224570510458
0,118,1157,77.96029980401573
0,12,1122,73.8436225435669
0,98,1096,73.72389074280088
0,101,1059,72.59385428253587
0,112,1070,71.58467137399099
0,53,1053,70.38037759672913
0,120,1043,69.79823260412785
0,21,1028,69.66514822465922
0,24,1016,68.99918037585572
0,50,992,65.83207532178596
0,4,1060,65.48943270300373
0,60,977,65.1124947858731
0,75,959,64.81103555922402
0,29,947,64.56881915578656
0,65,956,64.29849591333404
0,33,988,63.55230559207214
0,31,927,62.630031310509125
0,119,932,62.44311861664458
0,38,920,60.55339265850937
0,106,901,59.92769744160203
0,91,923,58.621269002595845
0,116,873,58.53947066405355
0,62,876,57.2383057198054
0,82,856,55.95961324548654
0,32,848,55.74966808999269
0,45,829,54.69114428217754
0,93,809,53.981420328142015
0,114,818,53.28296873068823
0,100,790,52.83762468316353
0,105,781,52.33107332662396
0,69,761,51.66454791037656
0,0,738,49.78209770791556
0,34,735,49.20590779878841
0,40,715,49.08485096985302
0,1,735,48.23284552280298
0,63,728,47.951830536344524
0,81,720,47.667161043134044
0,47,703,47.197178151161914
0,97,686,46.81371114103365
0,6,683,46.75765043073003
0,124,705,46.66567925714593
0,107,779,46.30876412388039
0,126,712,46.07824483344046
0,110,681,45.9899527613657
0,61,682,45.29260907180786
0,16,637,42.96046970428351
0,66,643,42.471527235900744
0,92,636,41.7273602062256
0,83,632,41.60655937152383
0,78,649,41.578316184649466
0,87,631,41.45448067296987
0,3,617,41.1840450742373
0,49,610,40.83080817766879
0,57,605,40.688841259936474
0,17,602,40.434138707090696
0,71,579,39.71183259176859
0,111,586,39.677858439201366
0,103,589,39.44084212810978
0,18,617,39.23139236833207
0,51,593,38.053268142048466
0,74,554,37.71968854282542
0,26,596,36.91879866518366
0,22,568,36.65878754171304
0,41,565,36.63329625509822
0,23,542,36.54969196543166
0,11,545,35.24186032528621
0,8,533,35.03893214682984
0,73,508,33.648498331479445
0,102,501,33.54541444516892
0,99,492,33.032197937648256
0,2,485,32.26458217463857
0,80,499,30.96737921361889
0,48,428,29.259593993325968
0,14,425,29.127155172413836
0,104,436,28.81535038932142
0,13,436,28.77519737377583
0,27,407,27.908092324805363
0,89,431,27.840763241208272
0,7,410,27.506850430017135
0,70,435,26.285981714099695
0,125,374,25.19234334445674
0,44,336,22.58130727263094
0,37,315,21.556243047830954
0,43,335,21.500338540407185
0,30,303,20.385304659498185
0,115,307,19.923707501088177
0,117,280,18.31094378369129
0,58,249,16.696005270149154
0,59,324,15.433815350389294
0,46,193,13.1667130144605
0,85,200,13.158498655464005
0,127,192,11.699507389162562
0,9,170,11.4220661846496
0,95,185,11.301398917818286
